content,query,date,hashtag
"if you're a nazi sympathizer, can you unfollow me? i don't respect your ideas but anti zionism is totally different. there is a plot against the west by Zionist ideologies but that is not the same as anti semetism which I don't at all respect",Zionist,2020-09-13 23:29:04+00:00,[]
"Zionists, not Jews.",Zionist,2020-09-13 23:28:28+00:00,[]
Ya like this one!,Zionist,2020-09-13 23:25:02+00:00,[]
I mean that both and both were merdered by fanatics whether or,Zionist,2020-09-13 23:24:08+00:00,[]
they brought back this sack of sh.t for destruction of Iran NWO kabbal agandas &amp; sad part were put in place to facilitate zionists agenda ! they executed a young Iranian to provoke &amp; have more sanction retarded can lead better than them,Zionist,2020-09-13 23:22:39+00:00,[]
"My god, Phillips is an utter turd. Imagine outright stating that anti-Zionist Jews don't understand what their own Jewishness means simply because they stand in opposition to Israel's colonialism or believe the world should be stateless and that borders are arbitrary.",Zionist,2020-09-13 23:22:34+00:00,[]
"When anti-Zionists start talking about Jews ""colonizing"" Palestine -- a land that has had a continuous Jewish presence for millennia -- I tend to want to remind them that the Jews would have happily gone anywhere else, if anyone had offered to take them in.",Zionist,2020-09-13 23:22:09+00:00,[]
REP OF BIAFRA THE COUNT DOWN A BIAFRAN WOMAN NEW APPOINTMENT IN USA CONGRATULATIONS TO OUR DEAR BIAFRAN SISTER FOR YOUR NEW APPOINTMENT GOD BLESS USA ZIONISTS REP OF BIAFRA,Zionist,2020-09-13 23:19:24+00:00,[]
"'Beat Up Zionists': NY Doctor Tweets Violent Anti-Semitic Incitement, Permitted to Treat Jews | United with Israel",Zionist,2020-09-13 23:19:08+00:00,[]
"""marxist bidenist"" is a joke. You need to read some of her posts to understand where she sits. She is a true Zionist Jew that is extremely knowledgeable on the I/P conflict and the ME in general. Please spend some time to get to know her.",Zionist,2020-09-13 23:18:47+00:00,[]
no it totally does and there's this weird alliance btwn zionists and conservative evangelical christians but again u do have to realize that the israeli gov and the israeli ppl are not one and the same,Zionist,2020-09-13 23:18:15+00:00,[]
"""We work to provide factual information and sound perspective on US foreign policy, World War Two, the Israel-Palestine conflict, war propaganda, Middle East history, the Jewish-Zionist role in cultural and political life, and much more."" hmm",Zionist,2020-09-13 23:16:20+00:00,[]
The word zionists reveals exactly what you are: cannot trust you at all.,Zionist,2020-09-13 23:15:53+00:00,[]
